 Wavelength (A)   Ref (cm-2s-1)  Scale1     Scale2
    0.50    1.00   0.000e+00   0.000e+00   0.000e+00
    1.00    2.00   1.000e-01   0.000e+00   4.800e+00
    2.00    4.00   5.000e+01   0.000e+00   2.900e+02
    4.00    8.00   1.000e+04   0.000e+00   7.600e+03
    8.00   18.00   2.000e+06   0.000e+00   4.600e+05
   18.00   23.00   9.000e+05   0.000e+00   2.300e+05
   23.00   32.00   6.700e+06   7.470e+05   6.920e+05
   32.00   44.00   3.800e+06   0.000e+00   4.350e+05
   44.00   60.00   8.560e+07   3.229e+07   2.175e+06
   60.00   70.00   7.650e+07   3.395e+07   1.683e+06
   70.00   80.00   7.930e+07   4.706e+07   1.127e+06
   80.00   90.00   6.570e+07   1.228e+07   1.202e+06
   90.00  100.00   9.400e+07   3.860e+07   8.247e+05
  100.00  110.00   3.090e+07   1.266e+07   1.896e+05
  110.00  120.00   2.130e+07   1.736e+07   3.780e+03
  120.00  130.00   1.590e+07   1.237e+07   1.260e+03
  130.00  140.00   1.060e+07   8.589e+06   0.000e+00
  140.00  150.00   5.590e+07   9.379e+06   9.296e+05
  150.00  160.00   6.100e+07   7.912e+06   2.492e+06
  160.00  170.00   1.322e+08   6.989e+07   7.400e+05
  170.00  180.00   8.460e+08   5.053e+07   1.161e+07
  180.00  190.00   4.458e+08   7.553e+06   1.199e+07
  190.00  200.00   3.568e+08   0.000e+00   1.597e+07
  200.00  210.00   1.420e+08   2.299e+07   9.957e+06
  210.00  220.00   9.240e+07   0.000e+00   8.507e+06
  220.00  230.00   2.388e+08   6.350e+07   6.124e+06
  230.00  240.00   1.319e+08   5.611e+07   2.565e+06
  240.00  250.00   3.184e+08   6.340e+07   8.582e+06
  250.00  260.00   5.497e+08   8.695e+07   1.808e+07
  260.00  270.00   1.052e+08   0.000e+00   8.750e+06
  270.00  280.00   2.725e+08   6.101e+07   1.379e+07
  280.00  290.00   1.367e+08   0.000e+00   4.332e+07
  290.00  300.00   1.477e+08   0.000e+00   4.035e+06
  300.00  310.00   6.235e+09   2.220e+09   2.820e+07
  310.00  320.00   4.098e+08   0.000e+00   1.063e+07
  320.00  330.00   4.700e+06   0.000e+00   5.170e+06
  330.00  340.00   3.400e+07   0.000e+00   3.400e+07
  340.00  350.00   4.176e+08   0.000e+00   1.089e+07
  350.00  360.00   1.034e+08   0.000e+00   3.619e+06
  360.00  370.00   8.325e+08   0.000e+00   2.947e+07
  370.00  380.00   0.000e+00   0.000e+00   0.000e+00
  380.00  390.00   0.000e+00   0.000e+00   0.000e+00
  390.00  400.00   1.560e+07   7.504e+06   0.000e+00
  400.00  410.00   1.791e+08   8.615e+07   0.000e+00
  410.00  420.00   8.800e+06   0.000e+00   3.590e+06
  420.00  430.00   0.000e+00   0.000e+00   0.000e+00
  430.00  440.00   2.047e+08   0.000e+00   1.973e+06
  440.00  450.00   0.000e+00   0.000e+00   0.000e+00
  450.00  460.00   9.100e+06   7.553e+06   0.000e+00
  460.00  470.00   1.999e+08   1.577e+07   2.279e+06
  470.00  480.00   3.240e+07   2.689e+07   0.000e+00
  480.00  490.00   6.500e+07   4.841e+07   0.000e+00
  490.00  500.00   1.688e+08   7.578e+07   1.162e+07
  500.00  510.00   1.434e+08   8.728e+07   0.000e+00
  510.00  520.00   3.350e+07   2.446e+07   0.000e+00
  520.00  530.00   1.112e+08   3.137e+07   5.340e+06
  530.00  540.00   1.860e+08   1.358e+08   0.000e+00
  540.00  550.00   2.320e+07   7.656e+06   0.000e+00
  550.00  560.00   8.839e+08   4.107e+08   0.000e+00
  560.00  570.00   1.336e+08   8.231e+07   0.000e+00
  570.00  580.00   6.890e+07   5.719e+07   0.000e+00
  580.00  590.00   1.591e+09   1.566e+09   0.000e+00
  590.00  600.00   2.092e+08   9.479e+07   0.000e+00
  600.00  610.00   4.500e+08   0.000e+00   1.260e+07
  610.00  620.00   1.670e+07   6.931e+06   0.000e+00
  620.00  630.00   1.600e+09   7.095e+08   3.301e+06
  630.00  640.00   2.490e+07   2.067e+07   0.000e+00
  640.00  650.00   3.300e+07   1.370e+07   0.000e+00
  650.00  660.00   2.180e+07   1.552e+07   0.000e+00
  660.00  670.00   6.200e+06   2.573e+06   0.000e+00
  670.00  680.00   1.060e+07   5.279e+06   0.000e+00
  680.00  690.00   1.392e+08   5.298e+07   3.411e+05
  690.00  700.00   4.350e+07   1.735e+07   2.034e+05
  700.00  710.00   4.022e+08   1.732e+08   0.000e+00
  710.00  720.00   8.010e+07   4.281e+07   0.000e+00
  720.00  730.00   1.860e+07   1.860e+07   0.000e+00
  730.00  740.00   2.420e+07   2.420e+07   0.000e+00
