 Wavelength (A)     Ref (cm-2s-1)    A
    0.50     1.00     0.000e+00   0.000e+00
    1.00     2.00     1.000e-01   4.166e+01
    2.00     4.00     5.000e+01   4.992e+00
    4.00     8.00     1.000e+04   6.583e-01
    8.00    18.00     2.000e+06   2.000e-01
   18.00    23.00     1.800e+06   1.704e-01
   23.00    32.00     1.340e+07   7.102e-02
   32.00    44.00     7.600e+06   9.605e-02
   44.00    60.00     2.479e+08   1.597e-02
   60.00    70.00     2.394e+08   1.002e-02
   70.00    80.00     2.482e+08   1.002e-02
   80.00    90.00     2.056e+08   1.002e-02
   90.00   100.00     2.942e+08   1.002e-02
  100.00   110.00     1.033e+08   7.125e-03
  110.00   120.00     7.121e+07   7.125e-03
  120.00   130.00     5.316e+07   7.125e-03
  130.00   140.00     3.544e+07   7.125e-03
  140.00   150.00     1.869e+08   7.125e-03
  150.00   160.00     1.590e+08   1.338e-02
  160.00   170.00     3.445e+08   1.338e-02
  170.00   180.00     2.205e+09   1.337e-02
  180.00   190.00     1.162e+09   1.337e-02
  190.00   200.00     9.299e+08   1.338e-02
  200.00   210.00     4.767e+08   1.945e-02
  210.00   220.00     3.102e+08   1.945e-02
  220.00   230.00     8.016e+08   1.945e-02
  230.00   240.00     4.428e+08   1.945e-02
  240.00   250.00     1.069e+09   1.945e-02
  250.00   260.00     1.290e+09   1.802e-02
  260.00   270.00     1.589e+08   2.647e-02
  270.00   280.00     4.115e+08   2.647e-02
  280.00   290.00     2.654e+08   1.145e-01
  290.00   300.00     2.231e+08   2.647e-02
  300.00   310.00     7.700e+09   5.584e-03
  310.00   320.00     4.566e+08   2.245e-02
  320.00   330.00     5.237e+06   2.245e-02
  330.00   340.00     3.788e+07   2.245e-02
  340.00   350.00     4.653e+08   2.245e-02
  350.00   360.00     1.531e+08   3.654e-02
  360.00   370.00     7.878e+08   1.183e-02
  370.00   380.00     0.000e+00   0.000e+00
  380.00   390.00     0.000e+00   0.000e+00
  390.00   400.00     2.309e+07   3.654e-02
  400.00   410.00     1.747e+08   7.408e-03
  410.00   420.00     8.585e+06   7.408e-03
  420.00   430.00     0.000e+00   0.000e+00
  430.00   440.00     1.997e+08   7.408e-03
  440.00   450.00     0.000e+00   0.000e+00
  450.00   460.00     8.812e+06   2.022e-02
  460.00   470.00     3.084e+08   8.251e-03
  470.00   480.00     3.138e+07   2.023e-02
  480.00   490.00     6.295e+07   2.023e-02
  490.00   500.00     1.635e+08   2.022e-02
  500.00   510.00     1.303e+08   8.758e-03
  510.00   520.00     3.045e+07   8.758e-03
  520.00   530.00     1.011e+08   8.758e-03
  530.00   540.00     1.691e+08   8.758e-03
  540.00   550.00     2.109e+07   8.758e-03
  550.00   560.00     9.615e+08   3.365e-03
  560.00   570.00     3.650e+07   3.658e-03
  570.00   580.00     1.882e+07   3.658e-03
  580.00   590.00     1.273e+09   5.155e-03
  590.00   600.00     5.716e+07   3.658e-03
  600.00   610.00     5.300e+08   1.617e-02
  610.00   620.00     3.271e+07   1.180e-02
  620.00   630.00     1.786e+09   4.255e-03
